question,answer
Welche Vorteile bietet es und welcher Kritik sieht sich das GAL insgesamt gegenüber?,"Das GAL bietet insgesamt v.a. den Vorteil, dass es sich vom eingeschränkten Blickwinkel der Völkerrechtswissenschaft dadurch löst, dass es erkennt, dass zwischen den Akteuren erhebliche Parallelen in der Handlungsweise bestehen (Verfahren, Entscheidungsprozesse) und dadurch an der Dichotomie zwischen Staat und Privatem nicht mehr ohne weiteres festgehalten werden kann.Die Kritik ist aber, dass es aufgrund der umfassenden Betrachtung an einer gewissen Trennschärfe fehlt. Jedes transnationale und internationale Handeln der Akteure wird zu GAL. Außerdem orientiert es sich v.a. an u.s.-amerikanischen und kontinentaleuropäischen Standards, die dann nur an globale Phänomene angelegt werden."
Welche Lösungsansätze werden vor dem Hintergrund des GAL für die Regulierung durch private internationale Organisationen gesucht?,"Zunächst kann man auf der Ebene der Entscheidungsfindung der Organisationen selbst ansetzen. So ist z.B. nach den Standards des GAL eine Zunahme von Beteiligungs- und Verfahrensrechten zu fordern, obgleich bereits eine Diversifizierung durch Stakeholder erreicht wirdAuf der anderen Seite lassen sich auch auf der Ebene nachträglicher Prüfung durch unabhängige Panels oder Oversight Boards einheitliche materielle Anforderungen schaffen, die Transparenz neben sonstiger Diversifizierung der Besetzung dieser Gremien fördert und die Akzeptanz der Entscheidungen erreicht"
Welche Probleme ergeben sich bei der Beachtung von Menschenrechten im Rahmen privater Regulierung im internationalen Handlungsbereich?,"Die internationalen aber gleichzeitig privaten Regulierungsakteure entscheiden grds. nach ihren eigenen Guidelines. Dies hat den negativen Effekt, dass sie in keiner Weise an die Menschenrechte gebunden sind und diese auch keine Berücksichtigung finden müssen (GRCh, EMRK). Dem kann zum einen dadurch abgeholfen werden, dass eine Kontrolle über eine etwaig bestehende staatliche Aufsicht der Institutionen bestehen kann, sodass dann die vertraglich verpflichteten Staaten ihre (gerichtliche) Aufsicht an den Menschenrechten messen lassen muss.Zudem besteht auch die Möglichkeit der Festlegung allgemeiner Menschenrechtstandards durch allgemeingültige Vorgaben im GAL, was wiederum durch materiell-rechtliche Vorgaben eine enorme Rechtssicherheit erreichen würde. "
Welchen Gegenentwurf zum klassischen Kodifikationsmodell beobachtet man - insbesondere im Öffentlichen Recht - vermehrt?,"Der klassische Kodifikationsgedanke lebt von einer widerspruchsfreien und umfassenden gesetzgeberischen Regelungsstruktur, die nur einen einzigen Normerzeuger voraussetzt. Gerade im Öffentlichen Recht beobachtet man aber heute immer verbreiteter eine von Delegationsregimen geprägte Rechtsetzung durch den Gesetzgeber. Hierdurch wird das Konzept der deduzierbaren Gesamtverantwortung des Gesetzgebers durchbrochen und sämtliche Gewalten an der Normkonkretisierung beteiligt. Der Gesetzgeber schafft nur noch einen Rahmen (Zielvorgabe), der innerhalb der Delegationsgrenzen von den übrigen Gewalten konkretisiert wird - im Wege der eigenen Rechtserzeugung (Urteile, VO, VA)."
Welche Formen der gesetzgeberischen Delegation von Regelungsverantwortung sind zu unterscheiden?,"Man unterscheidet einmal die ausdrückliche Delegation durch Verordnungsermächtigungen i.S.d. Art. 80 Abs. 1 S. 2 GG sowie die implizite Ermächtigung durch bestimmte tatbestandliche Regelungstechniken: Die offensichtlichste Delegation ist die Verordnungsermächtigung. Das Gesetz gibt (nur) Inhalt, Zweck und Ausmaß wieder, während der Exekutive die weitere Konkretisierung bzw. im eigentlichen Sinne die Rechtserzeugung obliegt. Diese Delegationstechnik ist v.a. dort angezeigt, wo politische Abwägungsprozesse nicht (mehr) notwendig sindDie gesetzesimplizite Delegation ist dagegen erst durch Auslegung näher zu bestimmen. So kann der Gesetzgeber durch bestimmte Regelungstechniken die Letztkonkretisierung der Exekutive oder Judikative überantworten. Diese institutionelle Verantwortungsteilung ist auch bei der Auslegung zu beachten - man spricht insofern von der normativen Ermächtigungslehre"
Welcher impliziter Delegationsinstrumente kann sich der Gesetzgeber bedienen?,"Bei der tatbestandlich impliziten Delegation (normative Ermächtigung) schafft der Gesetzgeber ein mehrpoliges Institutionenarrangement mit geteilter Verantwortung mittels bestimmter Regelungstechniken: ﻿Generalklauseln: ﻿Hier wird insbesondere die Judikative zur Konkretisierung und Präzisierung des Tatbestands ermächtigt. Denn der Gesetzgeber selbst hat nur das Ziel rechtlichen Handelns umschrieben, nicht aber auch die konkreten Voraussetzungen, welche die konkrete Rechtsfolge auslösen﻿Unbestimmte Rechtsbegriffe: ﻿Sie übertragen der Exekutive eine gewisse Letztkonkretisierungskompetenz. Problematisch dabei ist allerdings - gerade vor dem Hintergrund gerichtlicher Kontrolldichte -, ob der Gesetzgeber tatsächlich eine solche Kompetenz übertragen wollte (Beurteilungsspielraum) oder ob dennoch eine gerichtliche Vollkontrolle stattfinden soll, die Konkretisierungsveratnwortung mithin geteilt ist﻿Ermessen: ﻿Ermessen stellt dem Grunde nach sogar eine explizite Delegation dar. Die Ermessensfehlerlehre macht deutlich, dass diese Delegation zur behördlichen Zweckmäßigkeitsentscheidung unter einer Vielzahl rechtmäßiger Alternativen respektiert werden muss und eine Kontrolle allein anhand der Bindung an das Gesetz (Art. 20 Abs. 3 GG) zulässt"
Welche Zwecke verfolgt der Gesetzgeber bei mit der Etablierung von Delegationsregimen?,"Durch die zunehmende Etablierung von Delegationsregimen, nimmt sich der Gesetzgeber weiter aus der Regelungsverantwortung und schafft ein arbeitsteiliges Institutionenarrangement innerhalb der verfassungsrechtlichen Grenzen. Hierdurch wird erreicht, dass sich der Gesetzgeber auch die Kompetenz der übrigen Gewalten in das Normprogramm einbezieht. Das macht den Sachverstand von Judikative und Exekutive nutzbar, ohne aufgrund der Legitimationsstrukturen an eine Rückbindung an das unmittelbar legitimierte Parlament vermissen zu lassen (vorbehaltlich wesentlicher Entscheidungen)."
Welche Vorteile bietet die Rechtskonkretisierung durch Verordnungen?,"Die Rechtskonkretisierung durch Verordnungsrecht bringt eine Vielzahl von Vorteilen mit sich, die sich einerseits aus der Regelungsstruktur und andererseits aus der institutionellen Gestaltung des Verordnungsgebers ergeben. So wird eine Entlastung des Parlaments (a) erreicht, um Detailfragen, die keiner politischen Abwägung bedürfen, auch aus Gründen der Normklarheit zu delegieren.Zudem ermöglicht die hierarchische Struktur der Ministerien eine schnelle Abänderbarkeit, Flexibilisierung sowie Bewältigung (b) im Falle wandelbarer Entwicklungen sowie naturwissenschaftlich sowie technisch komplexer Verfahren.Abschließend ist auch die Umsetzung von Unionsrecht (c) durch Rechtsverordnungen schneller zu bewältigen, da häufig keine formell-gesetzliche Umsetzung verlangt wird Diese Vielzahl an Funktionen macht es allerdings auch schwierig einen originären Regelungsbereich für Rechtsverordnungen zu bestimmen, der über die vagen Vorgaben des Art. 80 GG sowie der Wesentlichkeitslehre hinausgeht."
Was sind sog. ﻿Finalnormen ﻿und wie lassen sie sich in das Gefüge der gesetzgeberischen Delegationsregime einordnen?,"Finalnormen enthalten weder explizite noch implizite Delegationen an die Exekutive. Denn sie enthalten zwar unbestimmte Merkmale, die jedoch prinzipiell auslegungsfähig sind.Der Fokus liegt dagegen auf dem Prozess der exekutiven Rechtserzeugung. Denn anhand der gesetzlichen (prozeduralen) Vorgaben muss das Ziel der Konkretisierung erst noch bestimmt werden.Insofern belässt der Gesetzgeber Mittel und Modus der Zielerreichung offen und überträgt die Auswahl den Verwaltungsbehörden. Diese Regelungsstrategie ist geboten bei Zielvorstellungen mit unklaren kausalen Zusammenhängen, die ggf. erst noch erarbeitet werden müssen (Gegenteil: Konditionalnormen mit fester Verknüpfung von Tatbestand und Rechtsfolge).Problematisch ist insofern aber - verfassungsrechtlich - das sich der Gesetzgeber seiner Regelunsverantwortung so weit entledigt, dass angesichts des weiten Tatbestandes eine gerichtliche Kontrolle zusätzlich erschwert wird (Art. 19 Abs. 4 GG)."
Welche Formen der delegierten exekutiven Rechtsetzung kennt das Unionsrecht?,"Im Unionsrecht kommt zum einen die delegierte Rechtsetzung durch die Kommission nach Art. 290 Abs. 1 AEUV in Betracht. Hier kann die Kommission Rechtsakte ohne Gesetzescharakter erlassen, um Ergänzungen oder Änderungen nicht wesentlicher Vorschriften eines Gesetzgebungsaktes erlassen (Art. 289 Abs. 3 AEUV). Entscheidend ist aber, dass die Ermächtigung in dem betreffenden Gesetz geregelt ist.Daneben besteht auch die Möglichkeit der Durchführungsrechtsetzung. So kann die Kommission die Bedingungen für die Durchführung der verbindlichen Rechtsakte in den Mitgliedstaaten einheitlich festlegen, Art. 291 Abs. 2 AEUV."
Welche Grenzen sind der delegierten Rechtsetzung der Kommission im Unionsrecht gesetzt? ,"Im Falle der Ergänzungs- oder Änderungsrechtsetzung der Kommission nach Art. 290 Abs. 1 AEUV ist insbesondere maßgeblich, dass es sich um nicht wesentliche Vorschriften des Basisrechtsaktes handeln muss. Zudem können solche Vorschriften nicht ergänzt oder geändert werden, die politische Entscheidungen betreffen oder Grundrechtseingriffe enthalten - es sei denn der Eingriff war durch den Basisrechtsakt bereits vorgezeichnet.Bei der Durchführungsrechtsetzung nach Art. 291 Abs. 2 AEUV ist in Abgrenzung zum Basisrechtsakt erforderlich, dass es sich gerade auch um tatsächliche Durchführung handelt und gerade nicht um inhaltliche Konkretisierung. Daneben ist umstritten, ob der Wesentlichkeitsvorbehalt des Art. 290 Abs. 1 AEUV analog angewendet werden kann."
Kann man den den Rechtsetzungsakten der Kommission gleichsam von exekutiver Rechtsetzung nach deutschem Vorbild sprechen?,"Nicht im eigentlichen Sinne. So ist bereits die institutionelle Eigenständigkeit der Exekutive problematisch. Denn sowohl die Kommission als auch der Rat und der Europäische Rat sind neben abstrakt-generellen Regelungen auch zu Einzelfallentscheidungen befähigt.Hinzu tritt, dass sich sämtliche Organe der Union an denselben Handlungsformen des Art. 288 Abs. 1 AEUV bedienen (auch delegiertes Recht). "
Warum stellt die exekutive Rechtsetzung keinen Verstoß gegen den Grundsatz der Gewaltenteilung dar?,"Dies ruht auf zwei verschiedenen Gründen. Zum einen ist in Deutschland und auch in anderen Verfassungsordnungen der Grundsatz der Gewaltenteilung nicht strikt vollzogen, sondern als eine Gewaltenverschränkung ausgestaltet.﻿Zum anderen ﻿handelt es sich in den überwiegenden Fällen alleine um abgeleitete Rechtsetzungsbefugnisse (Art. 80 Abs. 1 GG), sodass ein Ableitungszusammenhang zum unmittelbar legitimierten Parlament bestehen bleibt."
Kann der formelle Gesetzgeber Rechtsverordnungen auch neu erlassen?,"Dies ist nach der Rspr. des BVerwG nur in engen Ausnahmen zulässig. So gilt im Rahmen der Rechtsetzung der Grundsatz der Formenstrenge, sodass es nur zugelassen wird, wenn das formelle Gesetzgebungsverfahren eingehalten wird und sich auch der Gesetzgeber im Rahmen der Verordnungsermächtigung bewegt. Entscheidend ist daneben aber, dass es sich um die Regelung eines Sachbereichs handelt bzw. um die Reform eines gänzlichen Sachbereichs. In diesen Fällen ist es sinnvoll den Regelungskomplex einheitlich gestalten zu können, um Missverständnisse und Widersprüche auszuräumen."
Welche Regulierungsbegriffe lassen sich unterscheiden?,"Der Regulierungsbegriff kann verschiedentlich ausgelegt werden und wird dies auch in Theorie und Praxis: Nach einem engen netzbezogenen Verständnis ist Regulierung nur das, was institutionell in die Zuständigkeit der BNetzA fällt (TK, Post, Energie, Eisenbahn)Ein weiterer Begriff will die Regulierung erweitert auslegen. Erfasst sein sollen danach auch diejenigen Branchen mit Querschnittsfunktionen, die Geschäftsgrundlage einer Volkswirtschaft sind (insb. Finanzdienstleister)Ein ﻿weiter Begriff ﻿erfasst dagegen unter dem Begriff der Regulierung jeden staatlichen Eingriff in das Marktgeschehen zur Erreichung von social-goals "
Was versteht man unter Konzept des Gewährleistungsstaates?,"Der Gewährleistungsstaat ist ein Begriff, der sich unmittelbar der Annahme anschließt, die das Regulierungsrecht als Privatisierungsfolgenrecht  ausweist. Denn durch die Privatisierung der Netzindustrien (Post, Bahn etc.), muss der Staat trotz der Wahrnehmung öffentlicher Aufgaben durch Private und dadurch entstehenden Wettbewerbs sicherstellen, dass bestimmte - im Gemeinwohl stehende - Angebote und Leistungen flächendeckend gewährleistet werden.Diese Gewährleistungsverantwortung ist durch die fortbestehenden Eigentumsrechte möglich und verfassungsrechtlich verpflichtend (Art. 87f GG - Telekommunikation/Post, Art. 87e GG - Eisenbahn)."
Was ist die ökonomische Grundlage des Regulierungsrechts?,"Das (Netz)Regulierungsrecht wird gerade deshalb notwendig, weil selbst in Folge der Privatisierung der Netzindustrien natürliche Monopole bestehen. Diese ergeben sich im Hinblick auf die Netzregulierung aus zwei Aspekten: Subadditivität: Die Gesamtkosten bei einer zentralisierten Wahrnehmung sind geringer als bei dezentraler Produktion und Aufgabenwahrnehmung (Größenvorteile der bestehenden Netzbetreiber(-eigentümer)Irreversibilität: Die Bereitstellungen von Netzinfrastruktur durch andere Betreiber im Wettbewerb sind sunk costs. Sie sind bei Markteintritt zu tätigen und können nicht mehr rückgängig gemacht werden. Dieses Risiko schafft eine Markteintrittsbarriere und verhindert potentiellen Wettbewerb. Denn bei den bestehenden Wettbewerbern haben sich die Kosten für die Schaffung der Infrastruktur bereits wieder umfassend amortisiert."
Wie ist die Regulierung in Deutschland organisationsrechtlich gestaltet?,"In Deutschland ist die BNetzA als wesentliche Regulierungsbehörde bestimmt. Im Energiesektor sind daneben auch Landesregulierungsbehörden zu beachten. Die BNetzA zieht ihre Befugnisse aus dem BNAG sowie den speziellen Regulierungsgesetzen (TKG, EnWG, AEG, PostG). Es handelt sich um eine selbständige Bundesoberbehörde i.S.d. Art. 87 Abs. 3 GG und nimmt ihre Regulierungsverantwortung in den meisten Fällen durch gerichtlich organisierte Kolligialorgane wahr (bspw. § 132 TKG, § 59 EnWG). "
Welche Vorteile bietet die Entscheidung durch Kollegialorgane innerhalb der BNetzA?,"Die Entscheidungsgremien für die wesentlichen Regulierungsentscheidungen innerhalb der BNetzA sind kollegial ausgestaltet und wirken daher pluralistisch. Dieser Aspekt verleiht den Entscheidungen eine höhere Akzeptanz und Legitimität, um insbesondere die besondere Unabhängigkeit zu kompensieren. Zudem kann so eine gerichtsähnliche Entscheidung vorgelagert werden, um den verkürzten Instanzenzug im TKG auszugleichen. Abschließend wird dadurch die administrative Regulierung kontrolliert und somit die normative Regulierung und damit die Zurücknahme des parlamentarischen Gesetzgebers unwichtiger."
Welche Probleme ergeben sich hinsichtlich der Unabhängigkeit der BNetzA?,"Durch die Privatisierung der Netzindustrien steht der Staat in Konflikt zwischen der nach wie vor bestehenden eigentumsrechtlichen Position sowie der Regulierungsverantwortung des neuen Wettbewerbs. Um Interessenkonflikte zu vermeiden, hat die EU (Art. 8 RL 2018/1972) daher die Unabhängigkeit der staatlichen Regulierungsbehörden angeordnet. Das deutsche Regulierungsrecht enthält allerdings ein Weisungsrecht des BMWi (§ 61 EnWG, § 117 TKG). Hierin könnte ein Umsetzungsdefizit zu sehen sein, das einer Korrektur bedarf. "
Womit werden die bestehenden Weisungsrechte des BMWi im Netzregulierungsrecht begründet?,"Die bestehenden Weisungsrechte entgegen der unionalen Vorgaben zur Unabhängigkeit der Regulierungsbehörden werden insbesondere mit dem integrationsfesten (Art. 79 Abs. 3 GG) Demokratieprinzip Aufrecht erhalten. Denn die sachlich-inhaltliche Legitimation der BNetzA sei nicht mehr in vollem Umfang gewährleistet, sollte die weisungsrechtliche Rückbindung an das zuständige Ministerium fehlen. Nach einer a.A. ist dagegen wie vom BVerfG diagnostiziert, nur ein gewisses Legitimationsniveau zu erreichen. Dieses könne auch durch andere Rückbindungen an das Parlament gewährleistet sein, wobei auch hier eine gewisse Abhängigkeit vom Parlament entstünde. Es kann daher - je nach dem Entscheidungsausgang vor dem EuGH - geboten sein, eine paritätische Gestaltung der Beschlusskammern zu erreichen und diese etwa mit anderen Grundrechtsträgern und Sachverständigen zu besetzen, um die Output-Legitimation über eine gewisse Entscheidungsakzeptanz zu erreichen. "
Warum spricht man derweil von einem europäischen Regulierungsverbund?,"Es ist heute mehr von einem europäischen Regulierungsverbund die Rede, weil die mitgliedstaatlichen Regulierungsstrukturen immer weiter unionsrechtlich determiniert werden. Dies erfolgt einerseits dadurch, dass immer mehr Regulierungsstellen auf unionaler Ebene geschaffen werden, denen teilweise auch (eingeschränkte) Entscheidungsbefugnisse zukommen (ACER, GEREK). Andererseits steigt die Macht der Kommission im Regulierungsrecht durch die Befugnis bindender Leitlinien und sonstiger originärer Entscheidungsbefugnisse. Dies hat auch Einfluss auf die nationalen Behörden, die sich mehr und mehr auf das Unionsrecht beziehen. Aufgrund der Unabhängigkeit von der Staatsverwaltung, bestehen insoweit auch Bedenken hinsichtlich der mitgliedsstaatlichen Verfahrensautonomie. "
Welchen Instrumenten bedienen sich die Regulierungsbehörden?,"Zum einen können die Regulierungsbehörden auf klassische Instrumente der Wirtschaftsaufsicht zurückgreifen. Zu denken wäre etwa an Genehmigungspflichten (§ 4 EnWG, § 6 AEG) oder aber eine kartellrechtliche Missbrauchsaufsicht i.S.d. § 32 GWB (§ 42 TKG, §§ 30 f. EnWG). Zum anderen sind aber auch spezifische regulierungsrechtliche Befugnisse normiert. So ist einerseits der Netzzugang normativ reguliert (§ 16 TKG bspw.), sodass der Zugang zur Infrastruktur anderen nicht verschlossen bleiben darf. Auch dürfen bei geöffnetem Netzzugang keine zu hohen Entgelte für die Nutzung erhoben werden (§§ 30 ff. TKG bspw.). Daneben tritt die sog. Entflechtung der Infrastruktur von den damit verbundenen Diensten, um Diskriminierungen beim Netzzugang und Quersubventionen zu verhindern. Dieses sog. Unbundling kann verschiedentlich forciert werden (getrennte Buchhaltung, gesellschaftsrechtliche oder informationsrechtliche Trennung). Abschließend wird aber auch eine Mindestmaß an Versorgungsleistungen reguliert, um die verfassungsrechtlichen Anforderungen an den Gewährleistungsstaat einhalten zu können (§§ 78 ff. TKG, §§ 11 ff. PostG bspw.)."
Welche Besonderheiten bestehen im (Netz)Regulierungsrecht hinsichtlich des Rechtsschutzes?,"In allen Regulierungssektoren handelt es sich um Entscheidungen der BNetzA auf der Grundlage öffentlich-rechtlicher Normen, sodass grds. der Verwaltungsrechtsweg nach § 40 Abs. 1 S. 1 VwGO eröffnet ist. Nur im Energiesektor besteht in §§ 75 Abs. 4, 86 Abs. 1 EnWG eine abdrängende Sonderzuweisung zu den zivilen Kartellgerichten. Im Übrigen ist auch der verwaltungsgerichtliche Instanzenzug im Anwendungsbereich des TKG verkürzt, da eine Berufung bzw. Beschwerde gegen erstinstanzliche Entscheidungen ausgeschlossen ist (§ 132 TKG). Abschließend ist noch hinzuzufügen, dass übergreifend der Suspensiveffekt ausgeschlossen ist (§§ 137 TKG, 44 PostG, 37 AEG) sowie das Vorverfahren nur noch im Eisenbahnsektor statthaft ist. "
Welche Unterschiede bestehen zwischen dem klassischen Ordnungsrecht und dem Regulierungsrecht? ,"Das klassische Ordnungsrecht agiert wettbewerbsunabhängig, setzt diesen quasi voraus. Die Betätigung soll allein wirtschaftlich überwacht und mit klassischen Instrumenten des Ordnungsrechts sanktioniert werden. Im Regulierungsrecht wird jedoch nicht auf spezifische wirtschaftliche Betätigungen in einem funktionierenden Wettbewerb eingewirkt, sondern dieser durch gezielte Beeinflussung erst noch geschaffen. Zudem muss die verfassungsrechtlich garantierte Grundversorgung sichergestellt werden. Es handelt sich mithin um teilweise völlig divergierende Zielsetzungen."
Welches Verfahren liegt der Regulierung im Telekommunikationssektor zugrunde?,"Nach dem TKG ist ein gestuftes Regulierungsverfahren vorgesehen: Zunächst hat eine Marktdefinition zu erfolgen (§ 10 TKG), wobei der Markt hinsichtlich seiner Zutrittsbedingungen und Wettbewerbsfähigkeit analysiert wird Anschließend erfolgt eine Marktanalyse (§ 11 TKG), wobei die aktuelle Funktionsfähigkeit des Wettbewerbs bestimmt wirdErst nach diesen Schritten kann auf der Grundlage der Definition und Analyse eine Regulierungsverfügung ergehen (§ 13 TKG). Diese ergeht als einheitlicher VA, sodass nicht isoliert gegen die vorherigen Verfahrensschritte vorgegangen werden kannIn diesem Verfahren hat zusätzlich ein nationales Konsulationsverfahren zu erfolgen sowie eine unionsweite Konsolidierung unter Beteiligung der Kommission sowie der GEREK. Hier können bindende Vermutungen der unionsrechtlichen Akteure ausgesprochen werden. "
Was ist unter dem Begriff des Regulierungsermessens zu verstehen und welche Auswirkungen hat es auf die gerichtliche Kontrolle?,"Im System der normativen Ermächtigungslehre findet das Regulierungsermessen weder seinen Platz im Rahmen tatbestandlicher Beurteilungsspielräume und unbestimmter Rechtsbegriffe noch auf Rechtsfolgenseite im Rahmen des Ermessens. Es handelt sich vielmehr um eine dem Planungsermessen entlehnte Normstruktur, die final ausgestaltet ist und der Behörde weite Gestaltungsspielräume und auch -aufträge einräumt. Auf Grund der dynamischen und technisch anspruchsvollen Regulierungssachverhalte, kommt der fachkundigen Abwägung durch die Behörde erhebliches Gewicht zu. Der Gesetzgeber gibt alleine Abwägungsdirektiven vor, die in eine Prognoseentscheidung der Behörde einzubinden sind.Dies hat zur Folge, dass die Rspr. die gesetzgeberische Entscheidung zu respektieren hat und alleine einen Abwägungsausfall oder Abwägungsdefizite betrachten (Letztentscheidungskompetenz der Behörde)."
Welche Verknappungsgründe bestehen in der Verwaltungspraxis?,"In der Verwaltungspraxis kann zwischen drei verschiedenen Verknappungsgründen differenziert werden, die eine Verteilungsentscheidung erfordern: Zunächst ist eine natürliche Verknappung möglich aufgrund tatsächlicher Kapazitäten (Rundfunkfrequenzen bspw.)Verknappung aufgrund mittelbar wirkendem staatlichen Wettbewerbshandeln, er also Güter anbietet oder nachfragt (Studienplätze, Standplätze)Auch eine normative Verknappung ist möglich, wenn der Gesetzgeber aus Allgemeinwohlgründen ein Gut künstlich verknappt (Taxikonzessionen bspw.)"
Was unterscheidet das Verteilungsverfahren i.e.S. von sonstigen staatlichen Gewährungen?,"Das Verteilungsverfahren i.e.S. wird definiert als Verfahren, bei dem aufgrund der Knappheit eines bestimmten Gutes sämtliche Bewerber schlicht nicht berücksichtigen werden können.Andere staatliche Gewährungen der Leistungsverwaltung sind allerdings - trotz Knappheit eines gewissen Gutes - durch den Gesetzgeber determiniert und bedürfen keiner administrativen Auswahlentscheidung. Bei ordnungsrechtlichen Gewährungen (Zulassung, Genehmigung), handelt es sich schlicht nicht um die Verteilung knapper Güter, sondern allein um die behördliche Zuteilung aus anderen Gründen."
Welcher verfassungsrechtliche Rahmen ist bei der behördlichen Verteilungsentscheidung zu berücksichtigen?,"Zunächst ist das behördliche Verteilungsverfahren durch Art. 3 Abs. 1 GG vorgezeichnet. Dieser gebietet Verteilungskriterien anhand sachlicher Gründe sowie orientiert am Verteilungszweck zu entwickeln. Daneben muss eine adäquate Verfahrensgestaltung das grundrechtskonforme Verteilungskonzept sicherstellen und die Chancengleichheit aller Bewerber gewährleisten.Daneben können aber auch die Freiheitsrechte fruchtbar gemacht werden. In ihrer genuin abwehrrechtlichen Dimension haben sie für das Verteilungsverfahren keine Auswirkungen, da der Staat durch die Verteilung von Gütern keine Freiheiten beschränkt. Von Bedeutung sind die derivativen Teilhaberechte, die einen Anspruch auf Teilhabe an staatlichen Leistungen begründen - allerdings nie über den Status quo hinaus. Sie kommen dann in Betracht, wenn die Vergabe unmittelbare Auswirkungen auf die Ausübung von Freiheitsrechten hat (Art. 12 Abs. 1 GG), sodass sich nicht nur die Rechtfertigung schwieriger gestaltet, sondern gleichsam die Geltendmachung an sich."
Welche Anforderungen stellt Art. 19 Abs. 4 GG und die Gewähr effektiven Rechtsschutzes an das Verteilungsverfahren?,"Durch Art. 19 Abs. 4 GG ist vorgesehen, dass das Verteilungsverfahren Vorarbeit für ein späteres gerichtliches Verfahren zu leisten hat. Hierunter fallen etwa Dokumentationspflichten oder Begründungserfordernisse. Zudem muss die letztlich Auswahlentscheidung einer weitestgehenden gerichtlichen Kontrolle zugänglich gemacht werden - hierbei sind aufgrund der Multipolarität der Verteilungsentscheidung etwaige Besonderheiten zu beachten (Ämtestabilität bspw.)."
Welche Phasen des Verteilungsverfahrens werden unterschieden und was ist ihre Bedeutung?,Die erste Phase nennt sich Konzeptphase. Hierin wird der vom Gesetzgeber belassene Spielraum hinsichtlich der Verteilung - im verfassungsrechtlich abgesteckten Rahmen - konkretisiert. Dies erhöht im Interesse sämtlicher Bewerber Rationalität und Transparenz des Entscheidungsvorgangs.In der zweiten Phase (Ausschreibungs- und Bewerbungsphase) werden die Verfahrensbeteiligten ermittelt. In der letzten Phase (Entscheidungsfindungsphase) entscheidet die Verwaltung nun und teilt das Gut auf der Grundlage des verfassungsrechtlichen und einfachgesetzlichen Rahmens sowie der insoweit konkretisierten Verteilungskriterien zu. 
Inwiefern kommt dem Verwaltungs﻿verfahren ﻿im Hinblick auf die Verteilungsentscheidung gesteigerte Bedeutung zu?,"Nach dogmatisiertem deutschen Verständnis kommt dem Verwaltungsverfahren in erster Linie dienende Funktion zu. Gemeint ist, dass das Verfahrensrecht nur auf die Verwirklichung des materiellen Rechts zielt und ihm keine eigenständige Bedeutung zukommt. Im Verteilungsverfahren ist es indessen anders. Denn hier sind dem Normgeber hinsichtlich der Programmierbarkeit des Verteilungsverfahrens Grenzen gesetzt. Auf der anderen Seite erfordert das Verteilungsverfahren aber administrative Entscheidungsvorgänge, um die bestmögliche Verteilung der Güter sicherzustellen, was letztlich das Verfahrensrecht sicherstellt (Grundrechtsschutz durch Verfahren)."
Welche Interessen stehen sich beim Rechtsschutz gegen Verteilungsentscheidungen gegenüber und wann überwiegt welches Interesse?,"Beim Rechtsschutz gegen Verteilungsentscheidungen stehen sich die Interessen der abgelehnten Bewerber (v.a. Grundrechte) und damit das Interessen an einer weitestgehenden Fehlerkorrektur sowie das Interesse der erfolgreichen Bewerber gegenüber. Daneben treten aber auch Allgemeininteressen, wie etwa der Bestandsschutz aus Gründen der Rechtssicherheit oder aber die Verwaltungseffizienz. Nach tradiertem Verständnis erfolgt eine Fehlerkorrektur nur, wenn materielle Vorgaben verletzt wurde oder aber Verfahrensfehler sich auf die Sachentscheidung ausgewirkt haben. Andererseits gilt der Bestandsschutz, dem bei spezifischen Verteilungsentscheidungen besondere Bedeutung zukommt (Ämterstabilitätsprinzip)."
Welchen Herausforderungen sieht sich der Massenvollzug im Steuerrecht im Vergleich zu anderen Verwaltungsverfahren gegenüber?,Der Massenvollzug im Steuerrecht ist gekennzeichnet durch die Festsetzung der Steuern für jede steuerpflichtige Person und dabei die Berücksichtigung umfassender und vielzähliger Sachverhalte in jedem Fall. Hierdurch gerät die Verwaltungspraxis an ihre Grenzen und individuelle Verfahren mit Anhörungen und einem begrenzten Beteiligtenkreis sind nicht denkbar. Insofern ist auch der i.d.R. geltende Amtsermittlungsgrundsatz i.S.d. § 24 VwVfG nicht vollumfänglich durchzuführen. 
Welche (normativen) Lösungsansätze werden bei der Bewältigung des steuerrechtlichen Massenvollzugs befolgt?,"In erster Linie erfolgt eine Pauschalierung und Typisierung zur Vereinfachung der Rechtsanwendung, da sich diese im Steuerrecht vielfach derselben Problemfällen gegenübersieht. Diese Systembildung wird dadurch unterstützt, dass die Ressourcen alleine zur Bewältigung problematischer Fälle genutzt werden und diese ausgesondert werden. Maßgeblich ist aber die Einbindung der Steuerpflichtigen in den Entscheidungsprozess, indem sie eine Erstkonkretisierung (Subsumtionsvorschlag) selbständig wahrnehmen (Deklarationsprinzip). Flankiert wird dieses Prinzip durch das Verifikationsprinzip als Gegensatz zum Amtsermittlungsgrundsatz, sodass nur problematische Fälle hinsichtlich ihrer Richtig- und Vollständigkeit überprüft werden."
